,X,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol.x,idx,beta,pval,cilb,ciub,i2,tau2,symbol.y
1418,ENSG00000165724.5,1.09014343031611,1.01982111901878,1.16531485424111,0.0111851295253746,1.07833986403386,0.967916473207311,1.20136075224696,0.171202735868777,ZMYND19,30813,0.774068467379852,9.36364844090081e-19,0.602493265245544,0.945643669514159,96.5413079901766,0.157861544695906,ZMYND19
17,ENSG00000005812.9,0.882189604293174,0.819165331292317,0.950062787319337,0.000917902725856205,0.900759771115025,0.782161258041436,1.03734128597841,0.146779586263592,FBXL3,11935,-0.61419718642902,3.0600335393459e-18,-0.752419199811243,-0.475975173046797,96.3265623421329,0.105377790749379,FBXL3
1072,ENSG00000141378.14,1.08368676589559,1.01135534988764,1.16119127338151,0.0225876374164683,1.09028484476729,0.969253425539217,1.22642955021585,0.149927137572817,PTRH2,10820,0.580898995726431,3.56359751795758e-17,0.445783576961563,0.7160144144913,94.2876677415826,0.0910747229250258,PTRH2
1042,ENSG00000139343.9,1.06484240960262,1.00256638007128,1.13098681526473,0.0410204013301791,1.06173916987486,0.953780849444575,1.18191727743645,0.27350996361699,SNRPF,50850,0.716673635444969,1.06662616545567e-16,0.547379477086919,0.885967793803018,95.9036794868366,0.147604543633224,SNRPF
317,ENSG00000101189.6,1.23821681389891,1.15323868297035,1.32945668651439,3.85459515629333e-09,1.24770804998968,1.1163541658849,1.3945174619159,9.64796772029961e-05,MRGBP,52817,0.813381086236349,1.35166414237819e-16,0.62058738697951,1.00617478549319,98.3755922654041,0.210980851876937,MRGBP
1806,ENSG00000196262.12,1.16223757186397,1.07774636259763,1.25335257007641,9.45082642450388e-05,1.16223757186397,1.07774636259763,1.25335257007641,9.45082642450388e-05,PPIA,5616,0.61769257117222,4.40102876722457e-16,0.468725233509035,0.766659908835405,96.3108251636161,0.115204556379757,PPIA
1692,ENSG00000179526.15,1.10952178895902,1.03947365441749,1.18429033284609,0.00178719114158446,1.10337982914355,1.00961453739651,1.20585332546843,0.0299208351799129,SHARPIN,51909,0.453992242079759,6.35485351799805e-16,0.343898981790287,0.564085502369231,93.0041355860078,0.0618149961391792,SHARPIN
1904,ENSG00000205937.10,1.13388323156488,1.02214292448036,1.2578389499469,0.0176099384503412,1.09713534635687,0.911189544227301,1.32102697605729,0.327881749488439,RNPS1,36187,0.448950430489085,9.58398716079897e-16,0.3393987925961,0.55850206838207,96.6813687982922,0.0624368011843017,RNPS1
699,ENSG00000120509.9,1.11412916562747,1.03254131221538,1.20216380983198,0.0053484264093908,1.15209155859754,1.0118495923265,1.31177100772444,0.032529667122322,PDZD11,32421,0.518603056716805,1.71690742166812e-15,0.390913198278884,0.646292915154726,95.1831872095059,0.0852390093313545,PDZD11
1941,ENSG00000232119.6,1.23273127134437,1.14616500264811,1.32583562038568,1.77876160641783e-08,1.24058208238778,1.11615912337018,1.37887499274705,6.3898459852205e-05,MCTS1,42435,0.4296392550788,1.83134799476038e-15,0.323747705039059,0.535530805118541,93.1975162676941,0.0557655125290722,MCTS1
970,ENSG00000136100.11,0.905315496722317,0.83820145108525,0.97780330437798,0.0113692585724133,0.887245212208994,0.791513839120796,0.994555025673587,0.0400056739045926,VPS36,36521,-0.383146578644624,3.644485469309e-15,-0.478607740601518,-0.28768541668773,93.874568886867,0.044882548461415,VPS36
1180,ENSG00000146731.9,1.23725819293518,1.1593518826426,1.3203996637293,1.39947466697215e-10,1.29369203081487,1.14435429221823,1.46251827950041,3.87909652904015e-05,CCT6A,18034,0.653498267906316,8.10100746390007e-15,0.488569765195351,0.818426770617282,98.4687973938276,0.155670918722677,CCT6A
